"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Crocodylia&interval=Paleogene&pgm=gplates,scotese,seton&show=full"
"Access Time","Thu 2025-02-13 09:50:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Crocodylia"
"","pgm","gplates,scotese,seton"
"","interval","Paleogene"
"","timerule","major"
"","taxon_status","all"
"","show","full"
"Elapsed Time","0.182"
"Records Found","886"
"Records Returned","886"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"211736","occ","41982","","15895","n. gen. Ahdeskatanka n. sp. russlanddeutsche","species","499646","","Ahdeskatanka russlanddeutsche","","species","499646","Wasatchian","","54.9","50.5","Cossette and Tarailo","2024","89588","Chordata","Reptilia","Crocodylia","Alligatoridae","Ahdeskatanka","","","","","-102.800003","46.900002","","White Butte/Turtle Valley","","South Heart Locality","US","North Dakota","Stark","based on political unit","1","local area","S of South Heart; Jepsen's Turtle Valley site is in SW 1/4 sec 16 and W 1/2 sec 21 T 138 N R 98 W and his original White Butte locality is about 7 mi ENE in SW 1/4 sec 29 and NW 1/4 sec 32 T 139 N R 97 W; West's new material is from a ""roadcut about 400 yards east"" of Jepsen's locality","gplates","101","mid","-72.92","53.35","scotese","101","mid","-84.30","51.00","seton","101","mid","-83.57","48.45","US","","Golden Valley","","","bed","","","","","","","","","","""Most of the fossil vertebrates... have been found... 2-5 inches below very distinctive, highly indurated and brittle layer of chert""; most plants are from ""about 4 feet above"" the layer in ""a zone of tan claystone""","""light-pink and gray clays""","claystone","gray,red","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","bulk,selective quarrying,surface (float),sieve,field collection","","","","","","","""Several hundred classifiable bones and teeth of vertebrates"" in the original collections, plus 10 teeth collected by West","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"211737","occ","41981","","15895","Crocodyloidea indet.","unranked clade","155308","","Crocodyloidea","","unranked clade","155308","Wasatchian","","54.9","50.5","Cossette and Tarailo","2024","89588","Chordata","Reptilia","Crocodylia","","","","","","","-102.800003","46.900002","","White Butte/Turtle Valley","","South Heart Locality","US","North Dakota","Stark","based on political unit","1","local area","S of South Heart; Jepsen's Turtle Valley site is in SW 1/4 sec 16 and W 1/2 sec 21 T 138 N R 98 W and his original White Butte locality is about 7 mi ENE in SW 1/4 sec 29 and NW 1/4 sec 32 T 139 N R 97 W; West's new material is from a ""roadcut about 400 yards east"" of Jepsen's locality","gplates","101","mid","-72.92","53.35","scotese","101","mid","-84.30","51.00","seton","101","mid","-83.57","48.45","US","","Golden Valley","","","bed","","","","","","","","","","""Most of the fossil vertebrates... have been found... 2-5 inches below very distinctive, highly indurated and brittle layer of chert""; most plants are from ""about 4 feet above"" the layer in ""a zone of tan claystone""","""light-pink and gray clays""","claystone","gray,red","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","bulk,selective quarrying,surface (float),sieve,field collection","","","","","","","""Several hundred classifiable bones and teeth of vertebrates"" in the original collections, plus 10 teeth collected by West","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"266823","occ","","","25654","Borealosuchus n. sp. griffithi","species","173379","","Borealosuchus griffithi","","species","173379","Danian","","66","61.6","Wu et al.","2001","7155","Chordata","Reptilia","Crocodylia","NO_FAMILY_SPECIFIED","Borealosuchus","","","","","-112.933334","51.916668","UALVP 40955 - type","Griffith's Farm (upper Scollard Fm)","","Rumsey","CA","Alberta","","estimated from map","minutes","small collection","""SW 1/4, S18, T34, R21, W4""; location also shown on a map. Griffith’s Farm locality, near the town of Rumsey in Alberta, Canada","gplates","101","mid","-71.63","62.78","scotese","101","mid","-87.36","58.89","seton","101","mid","-86.00","58.14","CA","","Scollard","","","bed","","","","","","","","","","""less than 1 m above Nevis (#13) Coal Seam (earliest Paleocene)"", basal part of upper Scollard Fm.","""shaly, dark brown carbonaceous siltstone""","siltstone","brown","","carbonaceous","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","single specimen, skull with a few postcrania","taxonomic","field collection","","","","","R. C. Fox & P. A. Johnston","1970s","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"286254","occ","","","27268","Crocodylidae indet.","unranked clade","38435","","Crocodylidae","","unranked clade","38435","Wasatchian","","54.9","50.5","Gunnell and Bartels","2001","7542","Chordata","Reptilia","Crocodylia","Crocodylidae","","","","","","-108.912781","42.369999","","South Pass (Lostcabinian)","","The Pinnacles","US","Wyoming","Fremont","based on nearby landmark","seconds","local area","no details given","gplates","101","mid","-81.84","50.34","scotese","133","mid","-92.14","47.36","seton","101","mid","-91.05","44.83","US","FED","Wasatch","","Main Body","member","Lostcabinian","South Pass","1","","bottom to top","","","","","Clyde et al. 2001 took paleomagnetic samples through this part of the section but they were too poorly preserved to analyze","""thick brown paper shales""","""shale""","brown","","","","","","","","","fluvial-lacustrine indet.","","fossils are from ""channel lags, sheet wash concentrations, and along ancient lake 'strand lines'""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","paleoecologic","field collection","","","","","","","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"286255","occ","","","27268","Pristichampsus vorax","species","96558","recombined as","Boverisuchus vorax","","species","110999","Wasatchian","","54.9","50.5","Gunnell and Bartels","2001","7542","Chordata","Reptilia","Crocodylia","Planocraniidae","Boverisuchus","","","","","-108.912781","42.369999","? crocodylid","South Pass (Lostcabinian)","","The Pinnacles","US","Wyoming","Fremont","based on nearby landmark","seconds","local area","no details given","gplates","101","mid","-81.84","50.34","scotese","133","mid","-92.14","47.36","seton","101","mid","-91.05","44.83","US","FED","Wasatch","","Main Body","member","Lostcabinian","South Pass","1","","bottom to top","","","","","Clyde et al. 2001 took paleomagnetic samples through this part of the section but they were too poorly preserved to analyze","""thick brown paper shales""","""shale""","brown","","","","","","","","","fluvial-lacustrine indet.","","fossils are from ""channel lags, sheet wash concentrations, and along ancient lake 'strand lines'""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","paleoecologic","field collection","","","","","","","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"286256","occ","","","27268","""Diplocynodon"" sp.","genus","38427","","Diplocynodon","","genus","38427","Wasatchian","","54.9","50.5","Gunnell and Bartels","2001","7542","Chordata","Reptilia","Crocodylia","NO_FAMILY_SPECIFIED","Diplocynodon","","","","","-108.912781","42.369999","? caimanid","South Pass (Lostcabinian)","","The Pinnacles","US","Wyoming","Fremont","based on nearby landmark","seconds","local area","no details given","gplates","101","mid","-81.84","50.34","scotese","133","mid","-92.14","47.36","seton","101","mid","-91.05","44.83","US","FED","Wasatch","","Main Body","member","Lostcabinian","South Pass","1","","bottom to top","","","","","Clyde et al. 2001 took paleomagnetic samples through this part of the section but they were too poorly preserved to analyze","""thick brown paper shales""","""shale""","brown","","","","","","","","","fluvial-lacustrine indet.","","fossils are from ""channel lags, sheet wash concentrations, and along ancient lake 'strand lines'""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","paleoecologic","field collection","","","","","","","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"286257","occ","","","27268","Procaimanoidea sp.","genus","38432","","Procaimanoidea","","genus","38432","Wasatchian","","54.9","50.5","Gunnell and Bartels","2001","7542","Chordata","Reptilia","Crocodylia","NO_FAMILY_SPECIFIED","Procaimanoidea","","","","","-108.912781","42.369999","alligatorid","South Pass (Lostcabinian)","","The Pinnacles","US","Wyoming","Fremont","based on nearby landmark","seconds","local area","no details given","gplates","101","mid","-81.84","50.34","scotese","133","mid","-92.14","47.36","seton","101","mid","-91.05","44.83","US","FED","Wasatch","","Main Body","member","Lostcabinian","South Pass","1","","bottom to top","","","","","Clyde et al. 2001 took paleomagnetic samples through this part of the section but they were too poorly preserved to analyze","""thick brown paper shales""","""shale""","brown","","","","","","","","","fluvial-lacustrine indet.","","fossils are from ""channel lags, sheet wash concentrations, and along ancient lake 'strand lines'""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","paleoecologic","field collection","","","","","","","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"286295","occ","","","15837","""Crocodylus"" affinis","species","96550","nomen dubium","Crocodylus","","genus","38441","Bridgerian","","50.5","46.2","Gunnell and Bartels","2001","7542","Chordata","Reptilia","Crocodylia","Crocodylidae","Crocodylus","","","","","-108.912781","42.369999","","South Pass (Gardnerbuttean)","","Honeycomb Buttes","US","Wyoming","Fremont","based on nearby landmark","seconds","local area","although South Pass is within Fremont Co., some localities also may be in Sublette and/or Sweetwater counties","gplates","101","mid","-85.19","49.68","scotese","133","mid","-95.06","46.05","seton","101","mid","-94.10","42.84","US","FED","Wasatch","","","member","","South Pass","3","","bottom to top","","","","","spans upper chron C24n and lower chron C23r: Clyde et al. 2001","""""thick brown paper shales interbedded with relatively pure carbonate, trona, and gypsum beds""","""shale""","brown","","","","""carbonate""","gypsiferous","","","","fluvial-lacustrine indet.","","fossils are from ""channel lags, sheet wash concentrations, and along ancient lake 'strand lines'""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","paleoecologic","","","","","","","","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"286296","occ","","","15837","Pristichampsus vorax","species","96558","recombined as","Boverisuchus vorax","","species","110999","Bridgerian","","50.5","46.2","Gunnell and Bartels","2001","7542","Chordata","Reptilia","Crocodylia","Planocraniidae","Boverisuchus","","","","","-108.912781","42.369999","","South Pass (Gardnerbuttean)","","Honeycomb Buttes","US","Wyoming","Fremont","based on nearby landmark","seconds","local area","although South Pass is within Fremont Co., some localities also may be in Sublette and/or Sweetwater counties","gplates","101","mid","-85.19","49.68","scotese","133","mid","-95.06","46.05","seton","101","mid","-94.10","42.84","US","FED","Wasatch","","","member","","South Pass","3","","bottom to top","","","","","spans upper chron C24n and lower chron C23r: Clyde et al. 2001","""""thick brown paper shales interbedded with relatively pure carbonate, trona, and gypsum beds""","""shale""","brown","","","","""carbonate""","gypsiferous","","","","fluvial-lacustrine indet.","","fossils are from ""channel lags, sheet wash concentrations, and along ancient lake 'strand lines'""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","paleoecologic","","","","","","","","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"286297","occ","","","15837","""Diplocynodon"" sp.","genus","38427","","Diplocynodon","","genus","38427","Bridgerian","","50.5","46.2","Gunnell and Bartels","2001","7542","Chordata","Reptilia","Crocodylia","NO_FAMILY_SPECIFIED","Diplocynodon","","","","","-108.912781","42.369999","","South Pass (Gardnerbuttean)","","Honeycomb Buttes","US","Wyoming","Fremont","based on nearby landmark","seconds","local area","although South Pass is within Fremont Co., some localities also may be in Sublette and/or Sweetwater counties","gplates","101","mid","-85.19","49.68","scotese","133","mid","-95.06","46.05","seton","101","mid","-94.10","42.84","US","FED","Wasatch","","","member","","South Pass","3","","bottom to top","","","","","spans upper chron C24n and lower chron C23r: Clyde et al. 2001","""""thick brown paper shales interbedded with relatively pure carbonate, trona, and gypsum beds""","""shale""","brown","","","","""carbonate""","gypsiferous","","","","fluvial-lacustrine indet.","","fossils are from ""channel lags, sheet wash concentrations, and along ancient lake 'strand lines'""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","paleoecologic","","","","","","","","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
